sbd, toan, ngu_van, ngoai_ngu, vat_li, hoa_hoc, sinh_hoc, lich_su, dia_li, gdcd, ma_nn
01000556,7.8,7.25,9.6,5.5,3.25,5.5,,,,N1
01000285,8.2,8,9.2,,,,9,9.25,9,N1
01000692,7.4,9.25,6,,,,4,6.25,7.25,N1
01000012,8.2,8,8.2,,,,7.75,9.5,9,N1
01000420
01000964
01000148,8,9.25,8.2,,,,7.75,7.75,8.75,N1
01000963
01000013,5.2,8,8.6,,,,7.5,5.75,8,N1
01000557,8.4,8.5,8.6,7.75,6,5.75,,,,N1
01000150,5.4,8,8.8,,,,7,8.75,8.5,N1
01000829
01000284,8.2,7.75,7,8,9.5,5.25,,,,N1
01000286,6,9,7.8,,,,8.5,8.75,9.5,N1
01000693,8.4,9.25,8,,,,8.75,7.5,8,N1
01000828,8,8.5,8,,,,7.25,6,8.5,N1
01000014,7.6,9,7.4,,,,7.25,7.5,7.5,N1
01000966
01000149,8.8,9,9.2,,,,8.25,7.5,9,N1
01000831,8.2,9,8.4,,,,7.25,8.25,9.25,N1
01000152,7.4,9.25,8.6,,,,7.5,8.75,8.75,N1
01000558,8.4,8.75,9.6,8.25,8,7.25,,,,N1
01000015,7.6,9,7.6,,,,7.75,8.5,8.75,N1
